Resume_Category,JD_Title,Lexical,Semantic,Coverage,Final_Score
INFORMATION-TECHNOLOGY,DevOps Engineer,0.067,0.6,0.0,0.31
INFORMATION-TECHNOLOGY,Machine Learning,0.029,0.587,0.0,0.298
INFORMATION-TECHNOLOGY,Network Administrator,0.038,0.411,0.0,0.211
INFORMATION-TECHNOLOGY,Database Administrator,0.043,0.638,0.0,0.519
INFORMATION-TECHNOLOGY,Network Administrator,0.067,0.562,0.0,0.291
DIGITAL-MEDIA,DevOps Engineer,0.134,0.795,0.0,0.418
DIGITAL-MEDIA,Machine Learning,0.047,0.54,0.0,0.277
DIGITAL-MEDIA,Network Administrator,0.065,0.501,0.0,0.26
DIGITAL-MEDIA,Database Administrator,0.067,0.589,0.0,0.484
DIGITAL-MEDIA,Network Administrator,0.082,0.627,0.0,0.326
ENGINEERING,DevOps Engineer,0.068,0.631,0.0,0.326
ENGINEERING,Machine Learning,0.021,0.505,0.0,0.256
ENGINEERING,Network Administrator,0.064,0.373,0.0,0.196
ENGINEERING,Database Administrator,0.058,0.62,0.0,0.508
ENGINEERING,Network Administrator,0.057,0.569,0.0,0.293
ENGINEERING,DevOps Engineer,0.062,0.621,0.0,0.32
ENGINEERING,Machine Learning,0.009,0.556,0.0,0.28
ENGINEERING,Network Administrator,0.017,0.401,0.0,0.203
ENGINEERING,Database Administrator,0.026,0.549,0.0,0.444
ENGINEERING,Network Administrator,0.024,0.477,0.0,0.242
PUBLIC-RELATIONS,DevOps Engineer,0.044,0.426,0.0,0.22
PUBLIC-RELATIONS,Machine Learning,0.035,0.465,0.0,0.238
PUBLIC-RELATIONS,Network Administrator,0.02,0.288,0.0,0.147
PUBLIC-RELATIONS,Database Administrator,0.042,0.397,0.0,0.326
PUBLIC-RELATIONS,Network Administrator,0.036,0.394,0.0,0.202
