Resume_ID,Resume_Category,JD_ID,JD_Title,Lexical_Score,Semantic_Score,Skill_Coverage
0,Software Engineer,0,Backend Python Engineer,0.759,0.883,1.0
0,Software Engineer,1,Senior Data Scientist,0.369,0.244,0.5
0,Software Engineer,2,Frontend React Developer,0.149,0.243,0.25
0,Software Engineer,3,HR Business Partner,0.0,0.0,0.0
0,Software Engineer,4,Enterprise Sales Rep,0.0,0.0,0.0
1,Data Scientist,0,Backend Python Engineer,0.308,0.161,0.4
1,Data Scientist,1,Senior Data Scientist,0.481,0.836,0.75
1,Data Scientist,2,Frontend React Developer,0.0,0.0,0.0
1,Data Scientist,3,HR Business Partner,0.0,0.0,0.0
1,Data Scientist,4,Enterprise Sales Rep,0.0,0.0,0.0
2,Frontend Developer,0,Backend Python Engineer,0.006,0.0,0.0
2,Frontend Developer,1,Senior Data Scientist,0.006,0.0,0.0
2,Frontend Developer,2,Frontend React Developer,0.693,0.883,1.0
2,Frontend Developer,3,HR Business Partner,0.0,0.0,0.0
2,Frontend Developer,4,Enterprise Sales Rep,0.0,0.0,0.0
3,HR Manager,0,Backend Python Engineer,0.0,0.0,0.0
3,HR Manager,1,Senior Data Scientist,0.0,0.0,0.0
3,HR Manager,2,Frontend React Developer,0.0,0.0,0.0
3,HR Manager,3,HR Business Partner,0.829,0.926,1.0
3,HR Manager,4,Enterprise Sales Rep,0.0,0.0,0.0
4,Sales Executive,0,Backend Python Engineer,0.0,0.0,0.0
4,Sales Executive,1,Senior Data Scientist,0.0,0.0,0.0
4,Sales Executive,2,Frontend React Developer,0.0,0.0,0.0
4,Sales Executive,3,HR Business Partner,0.0,0.239,0.0
4,Sales Executive,4,Enterprise Sales Rep,0.926,0.941,1.0
